threshold,binary_f1
0.1,0.35443037974683544
0.15000000000000002,0.3880597014925373
0.20000000000000004,0.41935483870967744
0.25000000000000006,0.48148148148148145
0.30000000000000004,0.52
0.3500000000000001,0.5777777777777777
0.40000000000000013,0.5777777777777777
0.4500000000000001,0.5777777777777777
0.5000000000000001,0.6190476190476191
0.5500000000000002,0.6341463414634146
0.6000000000000002,0.6486486486486487
0.6500000000000001,0.5882352941176471
0.7000000000000002,0.5882352941176471
0.7500000000000002,0.625
0.8000000000000003,0.5517241379310345
0.8500000000000003,0.5185185185185185
